descripcion,codigo,NOVA
Acelga,V001,1
"Acelga, congelada",V050,3
"Acelga, pencas",V073,1
Achicoria,V002,1
Ají en conserva,V081,3
Ají Locoto,V077,1
Ají rojo / morrón rojo,V003,1
Ají verde o amarillo / morrón verde o amarillo,V004,1
Ajo,V065,1
Albahaca,V071,1
"Alcaparras, encurtido",V069,3
Alcaucil,V005,1
Apio,V006,1
"Arveja, congelada",V051,3
"Arveja, enlatada",V008,3
"Arveja, fresca",V007,1
Berenjena,V010,1
Berro,V011,1
Brócoli,V012,1
Brotes de soja,V013,1
Brotes de tacuara (bambú) en escabeche,V075,3
Caldo de verduras colado,V082,4
Cebolla,V014,1
Cebolla de verdeo,V052,1
"Champignones, enlatados",V074,3
"Champignones, frescos",V076,1
"Chaucha, congelada",V053,3
"Chaucha, fresca",V016,1
Chuchu o chayote,V078,1
Coliflor,V015,1
Escarola,V020,1
Espárrago,V021,1
Espinaca,V022,1
Habas,V023,1
Hakusai o col china,V054,1
Hinojo,V024,1
Hojas de parra,V083,1
"Hongos, enlatados",V026,3
"Hongos, frescos",V025,1
"Hongos, secos",V080,1
"Jardinera, congelada",V055,3
"Jardinera, enlatada",V056,3
Jengibre,V066,1
Kale,V057,1
Lechuga,V027,1
Mandioca,V028,1
Medallones de verdura congelados industrializados,V072,4
"Palmitos, enlatados",V029,3
Pepino,V031,1
Perejil,V067,1
"Pickles, en vinagre",V070,3
"Prefritos congelados, croquetas de vegetales (espinaca, brócoli)",V062,4
"Prefritos congelados, milanesas de vegetales (4 vegetales, espinaca)",V063,4
"Prefritos congelados, patitas de vegetales (espinaca)",V064,4
Puerro,V032,1
Rabanito,V033,1
Radicheta,V034,1
Remolacha,V035,1
Repollito de Bruselas,V036,1
Repollo,V037,1
Rúcula,V058,1
Tomate,V038,1
"Tomate, desecado",V068,3
"Tomate, enlatado",V039,3
"Tomate, puré de tomate",V060,3
Tomate cherry,V059,1
Verdolaga,V079,1
Zanahoria,V040,1
Zapallito,V041,1
Zapallo,V042,1
"Zapallo / calabaza, puré instantáneo (polvo)*",V084,4
Zucchini,V061,1
Aceituna negra,F050,3
Aceituna verde,F001,3
"Alimento a base de coco (leche de coco, industrializada)",F069,4
Acerola,F044,1
Ananá,F003,1
"Ananá, enlatado (fruta y almíbar)",F004,3
Ananá glaseado,F071,4
Arándanos,F060,1
Banana,F006,1
Banana deshidratada,F067,1
Cayota o Alcayota,F045,1
Cereza,F007,1
Ciruela pasa / ciruela seca,F009,3
Ciruela,F008,1
Coco fresco,F046,1
"Coco, leche",F066,1
Coco rallado,F051,3
"Coctail de frutas, enlatado (fruta y almíbar)",F052,4
Damasco,F010,1
Dátiles,F061,3
"Durazno, enlatado light (fruta y almíbar)",F013,4
"Durazno, enlatado (fruta y almíbar)",F012,3
Durazno,F011,1
Durazno orejón,F014,3
Frambuesa,F064,1
Frutas abrillantadas,F065,4
Frutilla,F015,1
Granada,F016,1
Guabirova,F053,1
Guayaba,F017,1
Higo desecado,F054,3
Higo,F018,1
Kaki,F019,1
Kinoto,F020,1
Kiwi,F021,1
Limón,F022,1
"Limón, ralladura",F059,1
Mamón,F023,1
Mandarina,F024,1
Mango,F025,1
Manzana con piel,F027,1
Manzana sin piel,F028,1
Maracuyá,F070,1
Melón,F029,1
Membrillo,F030,1
Mora,F055,1
Naranja,F031,1
"Naranja, ralladura",F062,1
Níspero,F032,1
Palta,F034,1
Papaya,F063,1
Pera,F036,1
"Pera, enlatada (fruta y almíbar)",F037,3
"Pera, enlatada light (fruta y almíbar)",F038,4
Pera orejón,F039,3
Pitanga,F056,1
Pomelo,F041,1
Puré de frutas envasado (alimento infantil),F057,4
Sandía,F042,1
Tuna,F058,1
Uva,F043,1
Uva pasa,F035,3
Almidón de maíz,A001,2
Almidón de mandioca,A193,2
Amaranto,A002,1
Anchi,A101,3
Arroz blanco,A003,1
Arroz inflado azucarado,A191,4
Arroz integral,A004,1
Arroz yamaní,A102,1
"(tipo cuatro quesos, primavera, etc.)",A103,3
"Arroz a la portuguesa (envasado, fortificado con vitaminas y minerales)",A255,4
"Arroz a la valenciana (envasado, fortificado con vitaminas y minerales)",A257,4
"Arveja, semilla seca entera / partida",A006,1
"Avena, arrollada",A005,1
"Avena, almohaditas",A104,4
Barra crocante de arroz,A105,4
Barra de cereal fortificada,A106,4
Barra de cereal light,A107,4
"Barra de cereales, PROMEDIO",A008,4
Batata,A073,3
Bizcochitos de grasa envasados,A108,2
Bizcochitos de grasa envasados light,A109,4
Bizcochitos de arroz envasados (tipo galletita),A110,4
"Bizcochos de grasa (panadería) / Criollitos, Libritos (pan con grasa)",A009,2
Bizcochos tipo Bay Biscuit,A010,3
Bizcochuelo preparado (panadería),A229,4
Bizcochuelo preparado a partir de polvo premezcla,A111,4
"Bizcochuelo preparado a partir de polvo premezcla, SIN TACC",A112,4
Bollitos de anís,A113,3
Brownie (panadería),A236,3
Budín industrializado,A114,4
"Budín industrializado con nueces, tipo navideño",A234,4
"Capelettis / capelettinis deshidratados, envasados",A115,4
"Capelettis frescos, artesanal",A011,3
"Cereal desayuno, aritos frutales",A074,4
"Cereal desayuno, aritos sabor miel",A182,4
"Cereal desayuno, bolitas de chocolate",A194,4
"Cereal desayuno, copos de maíz sin azúcar, sin fortificar",A075,4
Cereal infantil para papilla,A116,4
Cheesecake (panadería / confitería),A248,3
Chipá,A013,3
Chipá preparado a partir de polvo premezcla,A120,4
"Chipaco o pan con chicharrón, comprado",A216,3
Choclo,A076,1
"Choclo, congelado en grano",A176,3
"Choclo, enlatado cremoso",A078,3
"Choclo, enlatado en grano",A077,3
Churros,A014,3
"Cereal desayuno, copos de cereal integral (arroz y maíz), fortificados",A180,4
"Cereal desayuno, copos azucarados, sin fortificar",A012,4
"Cereal desayuno, copos azucarados, fortificados",A117,4
Coquitos (panadería),A204,3
Cous Cous,A118,4
Cucurucho / cubanito,A119,3
Empanaditas chinas (restaurant),A250,3
Facturas rellenas,A015,3
Facturas simples,A016,3
"Farofa tradicional, harina de mandioca condimentada, envasada lista para",A192,2
"Fideos de arroz, SIN TACC",A207,4
"Fideos frescos, al huevo",A017,3
Fideos secos,A018,3
"Fideos secos, fortificados",A121,3
Fideos secos integrales / fideos secos de sémola y harina de legumbres,A122,2
Frangollo (maíz seco pisado),A201,3
Galleta de campo,A064,4
Galleta de grasa con chicharrón,A206,4
Galleta marinera,A065,4
Galleta marinera con semillas / galletitas crackers con semillas,A188,4
Galleta marinera integral,A253,4
"Galleta marinera, light en grasas",A203,4
Galletas de arroz,A019,4
Galletas de arroz horneadas tipo snack varios sabores,A185,4
Galletas de arroz sin sal,A123,4
Galletitas integrales sin sal,A067,4
Galletitas dulces con centro de membrillo o similar (tipo Pepas),A186,4
Galletitas dulces con chips de chocolate,A181,4
Galletitas dulces hojaldradas,A220,4
Galletitas dulces rellenas,A023,4
Galletitas dulces rellenas bañadas en chocolate,A211,4
Galletitas dulces simples,A024,4
"Galletitas dulces sin azúcar agregada, con edulcorante (dietética)",A205,4
"Galletitas dulces, SIN TACC",A124,4
Galletitas dulces de almidón de maíz (tapita de alfajor),A177,4
Galletitas dulces tipo Frutigran,A125,4
Galletitas dulces obleas,A068,4
"Galletitas de agua, PROMEDIO",A020,4
Galletitas de agua sin sal,A066,4
Galletitas de agua sin sal con chía y lino,A258,4
Galletitas de agua con girasol alto oleico,A127,4
Galletitas de agua con grasa vacuna,A021,4
Galletitas de agua light,A247,4
Galletitas de salvado o integrales,A022,4
Galletitas tipo copetín,A126,4
Galletitas tipo talitas o fajitas,A198,4
Galletitas de vainilla con chips de chocolate (panadería),A254,4
Garbanzos,A025,1
"Garbanzos, enlatados",A128,3
Gérmen de trigo,A129,3
Granola,A026,3
Grisines,A069,3
Grisines sin sal,A130,2
"Guiso de lentejas (envasado, fortificado con vitaminas y minerales)",A244,1
Hamburguesa de quinoa envasada,A260,4
Hamburguesa de soja congelada,A175,4
Harina de algarrobo,A027,2
Harina de arroz,A028,2
Harina de cebada,A029,2
Harina de centeno,A030,2
Harina de chía,A212,2
Harina de garbanzos,A131,1
Harina de maíz,A031,2
Harina de quinoa,A070,2
Harina de soja,A032,2
Harina de trigo,A033,2
Harina de trigo con levadura para pizza,A202,4
Harina de trigo fortificada,A132,2
Harina de trigo integral,A034,2
Harina leudante,A133,4
Lentejas,A035,1
"Lentejas, enlatadas",A134,3
Milanesa de lentejas (dietética),A259,1
Levadura en polvo,A178,2
Levadura fresca,A179,2
Madalenas,A135,4
Madalenas rellenas,A187,4
Madalenas fortificadas,A136,4
"Maíz, grano entero",A036,1
"Masa de pizza, preparada a partir de polvo premezcla",A197,4
"Masa de pizza, preparada a partir de polvo premezcla, SIN TACC",A138,4
Masa de prepizza de panadería o envasada,A038,4
Masa de tarta o empanadas,A037,3
Masa de tarta o empanadas light,A139,4
"Masa de tarta o empanada, integral",A252,3
"Masa de tarta, SIN TACC",A218,3
Masas finas surtidas (panadería / confitería),A242,3
Masas secas surtidas (panadería / confitería),A232,3
Muffins veganos,A217,4
Ñoquis de espinaca envasados,A233,4
"Ñoquis de papa frescos, artesanal",A039,3
"Ñoquis de papa, envasados",A140,1
Ñoquis preparados a partir de polvo premezcla,A171,4
"Ñoquis preparados a partir de polvo premezcla, SIN TACC",A172,4
Panko (pan rallado japonés),A241,3
Pan árabe,A071,3
"Pan cacho (tipo pan casero de campo, sin grasa)",A215,2
"Pan con grasa (tipo pan ""cordero"")",A240,2
Pan criollo / semita / tortillas / bollos / harinitas,A072,3
Pan de centeno,A040,3
Pan de gluten,A042,3
Pan de maíz,A043,3
Pan de miga,A044,3
Pan de molde con salvado,A048,4
Pan de salvado,A045,2
Pan de salvado con semillas,A184,2
Pan de molde con salvado sin sal,A141,4
Pan de salvado sin sal (panadería),A246,2
Pan de viena,A046,3
Pan dulce,A142,3
Pan francés o pan casero sin agregado de grasa o aceite,A041,2
Pan francés sin sal,A245,2
"Pan blanco, tipo molde, lacteado",A047,3
"Pan lactal, SIN TACC",A237,4
Pan negro sin levadura,A049,2
"Pan para panchos o hamburguesas, envasado",A143,4
"Pan paraguayo / galleta paraguaya (bollitos con levadura, harina, grasa o",A231,4
Pan rallado,A050,3
"Pan rallado, SIN TACC",A226,3
"Pan rallado, fortificado",A144,4
Pan figacita de manteca,A169,2
Papa,A079,3
"Papa, croquetas u otro preformado de papa rebozado, prefrito, congelado",A153,3
"Papa, puré instantáneo (polvo)*",A152,4
Papas prefritas congeladas envasadas,A145,4
"Pastas secas, SIN TACC",A146,3
Pastelitos rellenos de dulce de membrillo o batata (panadería / confitería),A249,3
Patay,A147,3
Pionono,A148,3
Pochoclo acaramelado,A149,1
Pochoclo salado,A150,1
Polvo de hornear,A190,2
Polvo para preparar brownie*,A189,4
Porotos,A051,1
"Soja, porotos",A052,1
"Porotos, enlatados",A151,3
"Milanesa de arroz, prefrita",A165,4
"Milanesa de soja, prefrita",A164,4
"Premezcla para panificados, pastas y postres, SIN TACC",A213,4
"Premezcla para bizcochuelo, SIN TACC",A256,4
Puflito,A154,3
Quinoa inflada,A155,4
"Quinoa, semilla",A053,1
"Ravioles deshidratados, envasados",A157,4
"Ravioles frescos, artesanal, SIN TACC",A225,3
"Ravioles frescos, artesanal",A054,3
"Ravioles frescos, envasados",A156,4
Rosca de pascuas (panadería / confitería),A223,3
Rosquete,A243,3
Rosquita tipo Doughtnut,A210,3
Rosquita tipo Doughtnut bañada en chocolate,A227,4
Rosquita tipo Doughtnut de chocolate,A219,4
Rosquito de vino (cuyano),A209,3
Salvado de avena,A055,1
Salvado de trigo,A056,1
"Cereal desayuno, salvado de trigo tipo bastoncitos",A057,4
Scones (panadería / confitería),A196,3
"Seitán, sucedáneo de carne a base de gluten de trigo",A214,4
Sémola,A058,2
Sémola fortificada,A195,2
Soja texturizada,A170,4
"Sorrentinos frescos, artesanal",A200,3
"Sushi, PROMEDIO",A183,3
"Tapas para lasagna, pasta seca",A222,3
Tapioca (almidón de mandioca),A059,2
Tofu,A168,1
Torta de coco (panadería),A238,3
"Torta de cumpleaños (masa, relleno y cobertura). Comprada lista para consumir,",A224,4
Torta de manzana (panadería),A251,3
Torta de ricotta (panadería),A235,3
Torta frita,A062,3
Torta mil hojas,A228,3
"Tortillas de trigo, envasadas",A208,4
Tortitas Jachaleras,A158,3
Tostadas de gluten,A159,3
Tostadas de mesa,A160,3
Tostadas integrales,A161,3
Tostadas light,A162,4
Tostadas sin sal,A163,2
"Tostaditas saladas, saborizadas, producto tipo copetín",A221,4
Trigo burgol,A239,3
"Trigo, grano entero",A060,1
Trigo inflado azucarado,A230,4
Triguillo,A199,3
Turrón de maní con oblea tipo golosina,A173,4
Turrón tipo navideño,A174,3
Tutuca,A166,4
Vainillas,A061,3
"Alimento a base de leche entera y café, fortificado con calcio, varios sabores,",L065,4
"Leche chocolatada en polvo, fortificada, para desayunos escolares*",L044,4
"Leche parcialmente descremada, sabor chocolate o dulce de leche, fortificada",L001,1
Leche condensada,L034,3
"Leche de cabra, entera, fluida",L002,1
"Leche de cabra, entera, en polvo*",L070,1
"Leche de oveja, entera, fluida",L003,1
"Leche de vaca, ordeñada (sin ningún tipo de procesamiento)",L067,1
"Leche descremada en polvo, fortificada con vitaminas A y D*",L008,1
"Leche descremada en polvo, tipo Nido Buen Día, fortificada con hierro y",L069,4
más de proteínas,L060,1
"menos de grasas saturadas, fortificada con vitaminas A,",L045,2
"Leche semidescremada en polvo, deslactosada*",L041,1
"Leche entera fluida, con azúcar, lista para consumir",L039,1
Leche entera en polvo tipo Nido Fortigrow*,L055,4
"Leche entera en polvo, fortificada con vitaminas A y D, para desayunos",L046,1
"Leche entera en polvo, fortificada con vitaminas A y D*",L047,1
"As., fortificada con vitaminas A y D*",L043,1
"fortificada con hierro, zinc y ác. ascórbico*",L033,1
"Leche entera en polvo, deslactosada, fortificada con vitaminas A y D*",L009,1
"Leche entera en polvo, fortificada con hierro*",L019,1
"Leche entera en polvo, Plan Materno Infantil, sin fortificación*",L032,1
"Leche entera en polvo, sin fortificación*",L010,1
"Leche entera fluida, fortificada con hierro",L020,1
"Leche entera fluida, con vitaminas A y D",L007,1
"Leche entera fluida, fortificada con vitaminas A, D y B9",L048,1
"Leche entera fluida, deslactosada, fortificada con vitaminas A y D",L011,1
"Leche entera fluida, fortificada con vitaminas A, D, C, B9 y extra calcio",L054,1
"Leche entera fluida, con CLA, fortificada con vitaminas A y D",L066,1
"Leche entera fluida, sin fortificación",L006,1
"3, fortificada con calcio y vitaminas A, D y E",L053,1
"triglicéridos de cadena media, DHA/GLA y sin lactosa, para alergia a la",L057,1
"Leche fórmula, tipo Enfabebe Confort, en polvo*",L059,4
"Leche fórmula, tipo GA1 Anamix Infant, en polvo*",L056,4
"Leche fórmula, tipo Nutrilon Pepti junior HE, en polvo*",L058,4
"Leche fórmula antireflujo, en polvo*",L042,4
"Leche fórmula 0-12 meses, hipoalergénica, tipo Nutrilón HA, NAN HA, en",L063,4
"Leche fórmula 0-12 meses, sin lactosa, en polvo*",L062,4
"Leche fórmula etapa 3, en polvo*",L035,4
"Leche fórmula etapa 3, sin lactosa, en polvo*",L061,4
"Leche fórmula etapa 3, fluida",L036,4
"Leche fórmula etapa 4, en polvo*",L037,4
"Leche fórmula etapa 4, fluida",L038,4
"Leche fórmula inicio, en polvo*",L022,4
"Leche fórmula inicio, fluida",L024,4
"Leche fórmula para prematuros etapa 1, en polvo*",L049,4
"Leche fórmula para prematuros etapa 1, fluida",L050,4
"Leche fórmula para prematuros etapa 2, en polvo*",L051,4
"Leche fórmula para prematuros etapa 2, fluida",L052,4
"Leche fórmula seguimiento, en polvo*",L023,4
"Leche fórmula seguimiento, fluida",L025,4
"Leche seguimiento etapa 3, sabor vainilla",L064,1
Leche materna,L040,1
"Leche parcialmente descremada fluida, fortificada con vitaminas A, D, C y ác.",L030,1
"Leche parcialmente descremada fluida, fortificada con hierro",L031,1
"Leche parcialmente descremada fluida, fortificada con vitaminas A y D",L005,1
"Leche parcialmente descremada fluida, sin fortificación",L004,1
"Leche parcialmente descremada fluida, deslactosada, fortificada con vitaminas",L012,1
"vitaminas A, D, B2, B9 y zinc",L068,1
Probióticos descremados,L017,1
Probióticos enteros,L018,1
"Bebida láctea a base de agua, yogurt, azúcar y saborizantes",Y019,4
Flan envasado listo para consumir light,Y007,4
Flan envasado listo para consumir,Y006,4
Postre de leche bebible infantil,L013,4
Postre de leche listo para consumir light,L015,4
Postre de leche listo para consumir tipo Danonino,L016,4
Postre de leche listo para consumir tipo Serenito,L014,4
Yogur con fitoesteroles,Y014,4
Yogur descremado,Y003,4
Yogur descremado bebible,Y005,4
Yogur descremado con cereales,Y012,4
Yogur descremado con frutas,Y013,4
Yogur descremado con frutas y cereales,Y017,4
Yogur entero bebible saborizado,Y004,4
Yogur entero con cereales,Y010,4
Yogur entero con frutas,Y011,4
Yogur entero con frutas y cereales,Y018,4
Yogur entero natural,Y001,1
Yogur entero saborizado,Y002,4
Yogur descremado fortificado con calcio,Y015,4
Yogur fortificado con hierro,Y016,4
"Adherezo deshidratado a base de queso Reggianito, sémola y almidones",Q033,3
Muzzarella rebozada prefrita,Q043,3
Muzzarella rebozada sin freir (pollería o granja),Q048,3
"Quesillo (preparación regional, queso amasado artesanal)",Q049,3
Queso Azul,Q022,3
"Queso blanco descremado, untable",Q003,3
"Queso blanco semidescremado, untable",Q002,3
Queso Cheddar,Q042,3
Queso Chubut,Q023,3
"Queso crema entero, untable",Q001,3
Queso Cremoso,Q050,3
Queso Cuartirolo,Q017,3
Queso de cabra,Q045,3
Queso de máquina,Q021,3
Queso de vaca criollo,Q052,3
Queso en hebras,Q034,3
Queso en hebras light,Q035,4
Queso Fontina,Q024,3
Queso Fontina fundido light,Q051,4
Queso fresco sin sal,Q047,2
Queso fundido,Q005,3
Queso Goya,Q036,3
Queso Gruyére,Q025,3
Queso Holanda,Q026,3
Queso Limburguer,Q018,3
Queso Mar del Plata,Q027,3
Queso Pategrás,Q028,3
Queso Mascarpone,Q044,3
Queso Muzzarella,Q019,3
Queso Parmesano,Q037,3
Queso pasta blanda descremado,Q015,3
Queso pasta blanda doble crema,Q016,3
muzzarella),Q006,3
"Sardo, Sbrinz)",Q008,3
"Holanda, Mar del Plata, Pategrás, Queso de máquina, Roquefort, Taif, Tandil)",Q007,3
Queso porsalut sin sal light,Q046,4
Queso Provolone,Q038,3
Queso rallado envasado,Q032,3
Queso Reggianito,Q039,3
Queso Roquefort,Q029,3
Queso Sardo,Q040,3
Queso Sbrinz,Q041,3
Queso Taif,Q030,3
Queso Tandil,Q031,3
"Queso untable, PROMEDIO",Q000,3
Queso untable tipo Finlandia,Q013,3
Queso untable tipo Finlandia light,Q014,4
Queso untable tipo Tholem,Q011,3
Queso untable tipo Tholem light,Q012,4
Quesos de pasta semidura descremados,Q020,3
Ricota,Q004,3
Ricota descremada,Q010,3
Aguja,C078,1
Asado con hueso***,C076,1
Asado sin hueso***,C075,1
Bife angosto con hueso***,C089,1
Bife angosto sin hueso***,C088,1
Bola de lomo,C082,1
Bondiola (fiambre),C094,4
Butifarra,C123,1
Cabra,C001,1
Cantimpalo (fiambre),C121,4
Caracú,C109,1
Carne picada común,C073,1
Carne picada especial,C074,1
Carpincho,C050,1
Cerdo bondiola,C100,3
"Cerdo costillar tipo ""ribs""",C099,1
Cerdo costillita,C098,1
Cerdo jamón (corte de carne),C104,4
Cerdo matambre,C101,1
Cerdo paleta (corte de carne),C105,1
Cerdo pechito,C102,1
"Cerdo, PROMEDIO",C002,1
"Cerdo, patas, patitas",C115,1
Charata (ave),C064,1
Charqui de cordero o chalona,C038,3
Charqui de vaca,C037,3
"Chinchulines, tripa gorda",C007,1
Chivito,C110,1
"Chivito, cabeza",C129,1
Chorizo,C003,4
Chorizo seco,C095,3
Colita de cuadril,C093,1
Conejo,C008,1
"Corazón, vacuno",C107,1
"Cordero, PROMEDIO",C009,1
Cuadrada,C084,1
Cuadril,C092,1
Cuerito de cerdo,C052,1
"Espinazo, vacuno",C120,1
Falda,C079,1
Fiambre de cerdo,C051,4
Garza,C062,1
"Guanaco, carne",C111,1
Hamburguesa de carne vacuna (carnicería),C118,4
Hamburguesa de cerdo (carnicería),C116,4
Hamburguesa de pollo (pollería / granja),C113,4
"Hamburguesa de carne vacuna, industrializada",C011,4
"Hamburguesa de carne vacuna, industrializada, rebozada",C124,4
"Hamburguesa de carne vacuna, industrializada light",C053,4
"Hamburguesa de pollo, industrializada",C010,4
Hígado,C012,1
Hígado de pollo,C122,1
Jabalí,C103,1
Jacaré,C061,1
Jamón cocido,C004,4
Jamón crudo,C005,3
Lampalagua (serpiente),C065,1
Leberwurst,C054,1
Liebre,C127,1
Lengua,C013,1
Lomito ahumado,C056,1
Lomo,C085,1
Llama,C128,1
Longaniza,C055,3
Matambre (corte de carne),C080,1
Matambre (fiambre),C057,4
"Medallón de pollo relleno de jamón y queso, prefrito congelado",C114,3
Milanesa de carne vacuna rebozada (carnicería),C106,1
Milanesa de cerdo (carnicería),C126,1
Milanesa de pollo rebozada (pollería / granja),C068,1
"Milanesa de pollo, prefrita congelada",C069,4
Mollejas,C014,1
Mondongo,C015,1
Morcilla,C016,1
Mortadela,C017,4
Nalga,C081,1
Nuggets o patitas de pollo,C070,4
Nutria,C112,1
Osobuco,C108,1
Paleta (corte de carne),C087,1
Paleta (fiambre),C097,4
Palomita (corte de carne),C091,1
Panceta,C006,1
Pastrón,C058,3
Paté / picadillo,C018,1
Pato,C019,1
Pavo,C020,1
Peceto,C083,1
Perdiz,C063,1
Pollo con piel,C021,1
Pollo sin piel,C023,1
"Pollo, alitas",C125,1
"Pollo, menudos",C022,1
"Pollo, pechuga sin piel",C059,1
Queso de cerdo,C024,3
Rana,C117,1
Riñón,C025,1
Roast beef,C086,1
Salame,C026,2
Salchicha de viena,C027,4
Salchicha de viena light,C066,4
Salchicha parrillera,C028,4
Salchicha rellena con cheddar,C119,4
Salchichón,C067,2
Sesos,C029,1
"Suprema de pollo con espinaca y queso, prefrita congelada",C071,4
"Suprema de pollo con jamón y queso, prefrita congelada",C072,4
Tatú,C096,1
Tortuguita,C090,1
Ubre,C030,1
Vacío,C077,1
"Vacuno, cortes grasos, con hueso (ej: asado), PROMEDIO",C032,1
"Vacuno, cortes grasos, sin hueso (ej: vacío, carne picada común, aguja, falda, alita,",C031,1
"intensamente desgrasada), PROMEDIO",C033,2
"Vacuno, cortes magros, con hueso, PROMEDIO",C034,1
"Vacuno, cortes semigrasos, con hueso (ej: bife angosto), PROMEDIO",C036,1
"paleta, bife angosto, tortuguita, palomita), PROMEDIO",C035,1
Vizcacha,C060,1
"Huevo de gallina, entero",H001,1
"Huevo de gallina, clara",H002,1
"Huevo de gallina, yema",H003,1
"Huevo de codorníz, entero",H004,1
Abadejo,P029,1
Almeja,P042,1
"Anchoa, enlatada en aceite",P010,2
"Anchoa, pasta",P009,4
"Atún, enlatado en aceite",P008,2
"Atún, enlatado al natural",P007,3
"Atún, lomito fresco",P028,1
"Bocaditos de pescado, prefritos",P041,4
Brótola,P021,1
"Caballa, enlatada",P012,3
"Caballa, tronco",P011,1
Calamar,P003,1
Camarón,P004,1
Cornalitos,P031,1
Corvina,P023,1
Dorado,P035,1
Gatuzo,P024,1
Hamburguesa de pescado (pescadería),P046,1
Kani Kama,P039,4
Langostino,P005,1
Lenguado,P022,1
"Medallón de pescado relleno con queso y espinaca, prefrito",P043,3
Mejillón,P006,1
Merluza,P020,1
"Merluza, enlatada en agua y aceite",P045,2
"Milanesa de pescado, prefrita",P040,4
Pacú,P036,1
Palometa,P033,1
Pejerrey,P030,1
"Pescados de mar (ej: brótola, corvina blanca, gatuso, lenguado, merluza, etc.),",P001,1
