descripcion,codigo,NOVA
"Pescados de río (ej: dorado, palometa, surubí, trucha, etc.), PROMEDIO",P002,1
Pollo de mar,P025,1
Pulpo,P038,1
Rabas (restaurant),P047,1
Sábalo,P037,1
Salmón blanco,P026,2
Salmón rosado,P027,2
"Sardinas, enlatadas al natural",P044,3
"Sardinas, enlatadas en aceite",P013,2
Surubí,P034,1
Trucha,P032,1
Aceite comestible mezcla,Z003,2
"Aceite comestible mezcla, para cocción",Z030,2
Aceite de canola,Z005,2
"Aceite de canola, para cocción",Z032,2
Aceite de chía,Z023,2
"Aceite de chía, para cocción",Z036,2
Aceite de coco,Z022,2
"Aceite de coco, para cocción",Z034,2
Aceite de girasol,Z001,2
Aceite de girasol alto oleico,Z020,2
"Aceite de girasol alto oleico, para cocción",Z027,2
"Aceite de girasol, para cocción",Z026,2
Aceite de maíz,Z002,2
"Aceite de maíz, para cocción",Z028,2
Aceite mezcla con oliva,Z021,2
"Aceite mezcla con oliva, para cocción",Z029,2
Aceite de oliva,Z004,2
"Aceite de oliva, para cocción",Z031,2
Aceite de sésamo,Z042,2
Aceite de soja,Z007,2
"Aceite de soja, para cocción",Z035,2
Aceite de uva,Z006,2
"Aceite de uva, para cocción",Z033,2
"Aceite para cocción, PROMEDIO",Z025,2
"Aceite, PROMEDIO",Z000,2
Rocío vegetal,Z024,4
"Rocío vegetal, para cocción",Z037,4
Alimento a base de almendras (leche de almendras),Z043,4
Alimento a base de castañas (leche de castañas),Z040,4
Alimento a base de almendras con chocolate (chocolatada),Z050,4
Almendra,Z008,1
Avellana,Z009,1
Gomasio (sésamo integral tostado y molido con sal marina),Z045,2
Maní tostado salado,Z011,2
Maní tostado sin sal,Z010,2
Mantequilla de maní,Z048,4
fortificado con calcio,Z047,1
"Mix de frutos secos, semillas y pasas de uva",Z016,4
Nuez,Z012,1
Pistacho,Z013,1
Pistacho salado,Z038,2
Semilla de chía,Z041,1
Semilla de girasol,Z014,1
Semilla de girasol con sal y con cáscara,Z049,2
Semilla de sésamo,Z015,1
Semilla de zapallo,Z044,1
Semilla de amapola,Z046,1
Semilla de lino,Z039,1
Azúcar blanca molida,D003,2
Azúcar light,D070,4
Azúcar impalpable,D127,2
Azúcar morena / azúcar mascabo,D004,2
Edulcorante en polvo con aspartamo y acesulfame k,D083,4
"Edulcorante en polvo con sacarina y ciclamato (tipo Hileret clásico 1 a 10, Sucaryl",D084,4
Edulcorante en polvo con stevia,D085,4
"Edulcorante en polvo, PROMEDIO",D071,4
Edulcorante en polvo con sucralosa,D086,4
Edulcorante en tabletas o comprimidos con aspartamo y acesulfame k,D093,4
Edulcorante en tabletas o comprimidos con ciclamato y sacarina,D094,4
Edulcorante en tabletas o comprimidos sin identificar,D092,4
"Edulcorante líquido con ciclamato, sacarina y sucralosa",D091,4
Edulcorante líquido con aspartamo,D088,4
Edulcorante líquido con sacarina y ciclamato,D089,4
Edulcorante líquido con stevia,D072,4
Edulcorante líquido con sucralosa,D090,4
"Edulcorante líquido, PROMEDIO",D087,4
Glucosa,D116,4
Alfajor de arroz,D037,4
Alfajor de chocolate,D001,4
Alfajor de chocolate con relleno tipo mousse,D028,4
Alfajor de dulce de leche,D002,4
Alfajor de fruta,D036,4
Alfajor de maicena,D029,4
Alfajor de miel,D107,4
Alfajor light,D035,4
"Alfajor santafesino, tapas cubiertas con glasé",D104,4
Algodón de azúcar,D118,2
Bananita con cobertura de chocolate,D102,4
Barra proteica,D132,4
Barra de arroz rellena bañada,D041,4
Bombones de fruta,D044,4
Caramelos duros,D014,4
Caramelos duros light,D015,4
Caramelos masticables,D013,4
Caramelos rellenos,D012,4
Chicles,D042,4
Chicles sin azúcar,D043,4
Chupetín,D047,4
Conito de dulce de leche envasado,D034,4
Crema saborizada envasada tipo Ducrem,D110,4
Cubanito relleno,D033,4
Garrapiñada de maní,D080,4
Golosinas de merengue y cucurucho tipo Heladitos / Gallinitas,D125,4
Gomitas de gelatina,D048,4
Habanitos de chocolate,D122,4
Malvaviscos,D101,4
Merengues / merenguitos,D040,4
Mielcitas,D106,2
Minitorta bañada,D038,4
Oblea bañada tipo Kit Kat,D032,4
Oblea bañada tipo Nugaton,D039,4
Pastillas,D045,4
Pastillas sin azúcar,D046,2
"Postre a base de pasta de maní, tipo Mantecol",D049,4
Rhodesia,D030,4
Tableta de dulce de leche light,D079,4
Tableta de dulce de leche,D078,4
Tita,D031,4
Baño de repostería para cubrir tortas,D052,4
Barra de chocolate tipo Kinder,D053,4
Bocadito con dulce de leche tipo Cabsha,D054,4
Bocadito tipo Dos Corazones,D113,4
Bocadito tipo Marroc,D115,4
Bombón tipo Bon O Bon,D055,4
Bombón de chocolate relleno de licor,D129,4
Cacao amargo*,D050,2
Cacao en polvo sin fortificar*,D018,4
Cacao en polvo tipo Nesquik*,D051,4
Cacao en polvo tipo Zucoa / Zucoa Max instantáneo otros sabores*,D108,4
"Cacao, cascarilla*",D117,4
Chips de chocolate,D123,4
cacao o más,D057,4
Chocolate amargo,D126,4
Chocolate blanco,D058,4
Chocolate con almendras,D059,4
Chocolate con maní,D056,4
Chocolate relleno con pasta de maní tipo Snickers,D119,4
Chocolate light,D060,4
Chocolate para taza,D016,4
Chocolate relleno de dulce de leche tipo Tofi,D095,4
Chocolatín / chocolate con leche,D017,4
Huevo de chocolate tipo Kinder,D061,4
Lentejas de chocolate,D063,4
Maní con chocolate,D062,4
Medallón de menta y chocolate,D131,4
Pasas de uva con chocolate,D133,4
Bombón helado,D066,4
Helado de agua (heladería),D064,4
Helado de agua (palito),D019,4
Helado de crema (heladería),D020,4
Helado de crema envasado,D065,4
"Helado envasado con cucurucho, PROMEDIO",D067,4
Polvo para preparar helado*,D068,4
Torta helada envasada (crema helada varios sabores con base de galleta),D111,4
Almíbar,D100,3
Arrope,D026,2
Crema de avellanas con cacao tipo Nutella,D114,4
Dulce de batata,D005,3
Dulce de batata light,D081,4
Dulce de cayote,D073,4
Dulce de leche,D008,4
Dulce de leche light,D077,4
Dulce de mamón,D120,4
Dulce de membrillo,D006,3
Dulce de membrillo light,D082,4
Dulce de zapallo (compacto),D128,4
Fondant,D130,4
Grana para decorar tortas,D098,4
Jalea tipo membrillo,D007,4
Kero o melaza,D027,2
Mermelada de frutas,D010,4
Mermelada de frutas light,D025,4
Miel,D011,2
Miel de caña,D134,2
"Pulpa de frutas para repostería, coberturas y rellenos (frutilla, arándano o maracuyá)",D099,4
Rapadura,D105,2
"Relleno y cobertura para repostería lista para batir, varios sabores",D109,4
"Saborizadores Tecknofood, sabores varios (malta, vainilla)",D124,4
Salsa topping de chocolate,D097,4
Salsa topping de dulce de leche,D096,4
Chicharrón,G017,2
Crema de leche,G013,2
"Crema chantilly (lista para consumir, aerosol o industrial preparada)",G018,4
Crema light,G016,4
Grasa de cerdo,G008,2
Grasa de pollo,G019,2
Grasa vacuna,G009,2
Manteca,G010,2
Manteca light,G015,4
Margarina (en pote y en pan),G011,4
Margarina untable light,G012,4
Palitos aireados de harina de maíz o de colores,O013,4
Palitos salados,O014,4
Papas fritas de copetín,O015,4
Maní japonés,O043,4
Nachos,O028,4
Snacks saborizados salados a base de maíz,O041,4
"Snacks saborizados salados a base de sémola de arroz, horneados, tipo Palitos de",O044,4
Aceto balsámico,O022,4
Aderezo Salsa Alioli,O048,4
Aderezo Caesar o Ranch,O021,4
Aderezo para ensaladas light,O045,4
Aderezo Salsa Cheddar,O037,4
"Jugo de limón, envasado",B069,4
Ketchup,O005,4
Mayonesa,O001,4
Mayonesa light,O002,4
Mayonesa de soja,O003,4
Mostaza,O006,4
"Salsa a base de tomate en tetra brick o sachet, lista para consumir (ej: pomarola,",O035,2
Salsa agridulce,O047,2
Salsa barbacoa,O020,2
Salsa blanca en polvo envasada*,O049,4
Salsa chimichurri envasada,O051,2
"Salsa deshidratada varios sabores, polvo*",O046,4
Salsa de soja,O034,2
Salsa Golf,O004,2
"Salsa para guiso campero envasada, fortificada*",O040,4
Vinagre,O023,2
Caldos en cubo*,O007,4
Caldos en polvo*,O039,4
Caldos en polvo light*,O008,4
Caldos en polvo sin sal light*,O009,4
Sopa crema instantánea preparada,O010,4
Sopa crema preparada a partir de polvo premezcla light,O011,4
Sopa crema preparada a partir de polvo premezcla sin sal light,O012,4
Saborizador en cubos,O024,4
Saborizador en polvo,O038,4
Sopa de fideos deshidratada envasada para preparar*,O025,4
"Sopa crema instantánea, polvo para preparar (sabores varios)*",O029,4
"Sopa crema instantánea, polvo para preparar light (sabores varios)*",O030,4
"Sopa de vegetales instantánea, polvo para preparar*",O036,4
Arroz con leche envasado listo para consumir,D103,4
"Arroz con leche envasado sabor caramelo, fortificado",D121,4
Gelatina envasada lista para consumir,D069,4
"Gelatina light, preparada a partir de polvo",D022,4
Gelatina preparada a partir de polvo,D021,4
Polvo para preparar flan*,D009,4
Polvo para preparar postre lácteo*,D075,4
Polvo para preparar postre lácteo light*,D076,4
Polvo para preparar mousse de limón / chocolate*,D112,4
Bicarbonato de sodio,O042,2
Sal,O026,2
Sal Marina,O050,2
"Sal dietética o modificada, PROMEDIO",O033,4
"Sal dietética, sin sodio",O027,4
Cloruro de sodio,O031,2
Cloruro de sodio,O032,2
Achilate / achilata,B055,4
"Agua saborizada Aquarius, varios sabores",B044,4
"Agua saborizada Awafrut, varios sabores",B046,4
"Agua saborizada con azúcar, PROMEDIO",B030,4
"Agua saborizada Levité, varios sabores",B045,4
"Agua saborizada tipo Sierra de los Padres, Manaos, otros",B047,4
Amargo serrano*,B001,4
"Bebida a base de soja y jugo, varios sabores",B003,4
"Bebida a base de soja y jugo, varios sabores light",B004,4
Bebida a base de soja sabor natural,B020,4
"Gaseosa con azúcar, PROMEDIO",B008,4
"Gaseosa con azúcar, sabor cola",B021,4
"Gaseosa con azúcar, sabor lima limón",B022,4
"Gaseosa con azúcar, sabor naranja",B023,4
"Gaseosa con azúcar, sabor pomelo",B024,4
"Gaseosa con azúcar, agua tónica",B025,4
"Gatorade, varios sabores",B037,4
Jugo congelado con azúcar en sachet,B054,2
Jugo de fruta envasado varios sabores,B010,4
"Jugo en polvo con azúcar, PROMEDIO*",B011,4
Jugo en polvo con azúcar*,B053,4
Jugo concentrado con azúcar para diluir*,B014,4
"Powerade, varios sabores",B038,4
"Agua saborizada H2O, varios sabores",B049,4
Agua saborizada Flip light,B051,4
"Agua saborizada Levité Cero, varios sabores light",B048,4
"Agua saborizada light, PROMEDIO",B031,4
Agua saborizada We o Ser ligth,B050,4
Amargo serrano light*,B002,4
"Gaseosa light, PROMEDIO",B009,4
"Gaseosa light, Guaraná",B112,4
"Gaseosa light, sabor cola",B026,4
"Gaseosa light, sabor lima limón",B027,4
"Gaseosa light, sabor naranja",B028,4
"Gaseosa light, sabor pomelo",B029,4
"Gatorade Zero, varios sabores (sin azúcar)",B039,4
Granadina Zero (sin azúcar),B131,4
Jugo en polvo BC*,B052,4
Jugo en polvo light*,B012,4
de jugo y pulpa),B121,4
Jugo concentrado para diluir light*,B118,4
"Powerade Zero, varios sabores (sin azúcar)",B040,4
Ananá Fizz,B129,4
"Aperitivo, tipo Gancia",B119,3
"Bebidas destiladas, PROMEDIO",B005,4
Bebida energizante,B041,4
"Bebida mezcla de fernet con gaseosa sabor cola, lista para consumir",B113,4
Cerveza con alcohol,B006,3
Cerveza sin alcohol,B007,3
Champagne,B042,3
"Chicha, bebida tradicional obtenida por fermentación del maíz",B128,4
Dr. Lemon,B115,4
Fernet,B043,3
"Licor, PROMEDIO",B013,3
Sidra,B015,3
Vermouth,B016,4
Vino blanco,B017,3
"Vino espumante, tipo Frizze",B120,3
Vino Mistela,B122,3
Vino rosado,B123,3
Vino tinto,B072,3
Vodka,B125,3
Agua con gas / soda,B111,1
Agua de mar,B126,1
"Agua de lluvia, río, canal, arroyo o acequia",B109,1
"Agua de lluvia, río, canal, arroyo o acequia, hervida y/o con lavandina",B110,1
Agua de perforación con bomba,B105,1
"Agua de perforación con bomba, hervida y/o con lavandina",B106,1
Agua de pozo,B107,1
"Agua de pozo, hervida y/o con lavandina",B108,1
"Agua de red pública o agua corriente, dentro del hogar",B101,1
"Agua de red pública o agua corriente, filtrada (filtro o dispenser de agua)",B102,1
Agua embotellada (bidón / botella),B103,1
"Agua embotellada (bidón / botella), bajo contenido de sodio",B104,1
Agua origen desconocido,B100,1
Hielo para bebidas,B114,4
Jugo de arándanos y chía,B078,4
"Jugo de arándanos, natural",B124,1
"Jugo de fruta, exprimido sin azúcar agregada, envasado",B032,2
"Jugo de fruta, pasteurizado no reconstituido",B033,4
"Jugo de limón, exprimido",B034,4
"Jugo de naranja, exprimido",B035,4
"Jugo de papaya, natural",B116,1
"Jugo de pomelo, exprimido",B036,4
Café con leche en cápsula*,B117,4
Café en saquitos (ingresar cantidad de saquitos)*,B073,1
Café instantáneo (polvo o granulado con leche y azúcar para preparar)*,B060,4
Café instantáneo descafeinado (polvo o granulado para preparar)*,B056,4
Café instantáneo (polvo o granulado para preparar)*,B057,4
Café molido en cápsula*,B059,4
Café preparado a partir de grano molido (tipo café de filtro),B058,1
Capucchino instantáneo (polvo o granulado para preparar)*,B063,4
Capucchino instantáneo (polvo o granulado para preparar light)*,B062,4
Capucchino preparado,B061,4
"Infusión de hierbas en hebras tipo Boldo, Manzanilla, otros (ingresar cantidad en",B127,1
"Infusión de hierbas en saquitos tipo Boldo, Manzanilla, otros (ingresar cantidad de",B068,1
Mate cocido en saquitos (ingresar cantidad de saquitos)*,B065,1
Malta instantánea polvo*,B130,4
Té blanco en hebras (ingresar cantidad en gramos)*,B076,1
Té blanco en saquitos (ingresar cantidad de saquitos)*,B075,1
Té negro en hebras (ingresar cantidad en gramos)*,B071,1
Té negro en saquitos (ingresar cantidad de saquitos)*,B066,1
"Té saborizado en saquitos, varios sabores (ingresar cantidad de saquitos)*",B077,4
Té concentrado de hierbas Herbalife,B132,4
Té verde en saquitos (ingresar cantidad de saquitos)*,B067,1
Yerba mate para mate cebado (ingresar cantidad en gramos)*,B064,1
Yerba mate para mate cocido (ingresar cantidad en gramos)*,B070,1
Yerba mate para tereré (ingresar cantidad en gramos)*,B074,1
"McDonald's, BigMc (ingresar cantidad de porciones)",R053,4
"McDonald's, Cajita Feliz, Hamburguesa con queso Grill (ingresar cantidad de",R046,4
"McDonald's, Cajita Feliz, Hamburguesa Grill (ingresar cantidad de porciones)",R045,4
"s, Cajita Feliz, Mc Tostado (ingresar cantidad de porciones)",R043,3
"s, Cajita Feliz, Mc Nuggets X4 (ingresar cantidad de porciones)",R040,4
"s, Cajita Feliz, Papas Kids (ingresar cantidad de porciones)",R041,3
"s, Cajita Feliz, Papas pequeñas (ingresar cantidad de porciones)",R042,3
"s, Cajita Feliz, Tomate cherry 50g (ingresar cantidad de porciones)",R044,3
"s, Club House (ingresar cantidad de porciones)",R054,3
"s, Clubhouse/Guacamole/Cryspi Onion BBQ con pollo crispy (ingresar",R058,3
"s, Clubhouse/Guacamole/Cryspi Onion BBQ con pollo grill (ingresar",R059,3
"s, Cono (ingresar cantidad de porciones)",R064,3
"s, Cuarto de Libra (ingresar cantidad de porciones)",R052,3
"s, Doble Cuarto de Libra con queso (ingresar cantidad de porciones)",R049,3
"s, Hamburguesa (ingresar cantidad de porciones)",R047,3
"s, Hamburguesa con queso (ingresar cantidad de porciones)",R048,3
"s, Mcnífica (ingresar cantidad de porciones)",R050,3
"s, McNuggets x 10 (ingresar cantidad de porciones)",R056,4
"s, McPollo Grill (ingresar cantidad de porciones)",R057,3
"s, Papas grandes (ingresar cantidad de porciones)",R063,3
"s, Papas medianas (ingresar cantidad de porciones)",R062,3
"s, Papas pequeñas (ingresar cantidad de porciones)",R061,3
"s, Pollo Jr. (ingresar cantidad de porciones)",R060,3
"s, Sundae chocolate (ingresar cantidad de porciones)",R065,4
"s, Sundae dulce de leche (ingresar cantidad de porciones)",R066,4
"s, Mc Flurry Oreo (ingresar cantidad de porciones)",R068,3
"s, Sundae frutilla (ingresar cantidad de porciones)",R067,3
"s, Triple Mac (ingresar cantidad de porciones)",R051,3
Dextrosa en polvo*,S214,4
Ensure Plus,S008,4
Ensure Plus drink,S009,4
Ensure polvo*,S007,4
Espesan*,S187,4
Floratil-Sccharomyces boulardii,S216,4
Fortisip Standard,S224,4
Frebini energy drink,S188,4
Fresubin Powder Fibre*,S178,4
Glucerna SR polvo*,S219,4
Herbal Aloe concentrado (Herbalife),S223,4
Jevity,S225,4
Kas Mil polvo*,S010,4
MCT Oil-triglicéridos de cadena media (Nutricia Bagó),S215,4
Neocate polvo*,S222,4
Nutramigen LGG* NO ES UNA FORMUAL INFANTIL??,S196,4
Osmolite NH,S211,4
"Pediasure complete, en polvo*",S227,4
Polimerosa*,S184,4
Supportan,S228,4
Supportan drink,S204,4
Chía Caps,S154,4
Fito Chía Caps,S155,4
Aceite de pescado          Regulip,S156,4
Ácido fólico 1 mg         Todos los suplementos de,S011,4
Ácido fólico 5 mg         Todos los suplementos de,S012,4
Ácido fólico 10 mg        Todos los suplementos de,S013,4
Ácido fólico              Usar para todos los,S014,4
Ácido fólico 1 mg/ml,S209,4
Ácido fólico y B12         Acifol B12,S042,4
Blastop,S099,4
Bagó B6 B12 Fólico,S100,4
Blastop Prevent,S098,4
Presterin,S109,4
Valcatil Max,S165,4
Aminoácidos                L Glutamine Star Nutrition*,S221,4
BCAA Optimum Nutrition 5000 Powder Fruit Punch*,S220,4
Maxi Gain*,S168,4
Whey X-Pro.Proteina potenciada con creatina*,S170,4
concentrado de proteínas de suero lácteo*,S177,4
"Pulver Gainer Plus. A base de carbohidratos,",S217,4
Secalbum*,S194,4
Whey Pro. Classic Line*,S199,4
Calcio base Dupomar,S201,4
Calcio                   Calcio base Vent3,S179,4
Calcional Citrato (masticables),S195,4
Bantuc Max,S122,4
Calcimax D3 400,S120,4
Calcio base Dupomar D3 200,S182,4
Calcio base Investi D3 400 (efervecente),S210,4
Calcio Cit Plus,S116,4
Calcio Cit,S114,4
Calnier D,S112,4
Caltrate 600 + D,S111,4
Calcio y vitamina D      Cavirox,S113,4
Cavirox 400,S118,4
Cavirox Cit,S115,4
Citramar D 200,S117,4
Citramar D 400,S119,4
Decalcit,S124,4
Taxus 400,S121,4
Ultra Calcium D3 200,S123,4
Ultra Calcium D3 400,S110,4
Fluoruro de sodio,S213,4
Sulfato ferroso        Usar para todos los,S017,4
Polimaltosato 50       Usar para todos los,S018,4
Sulfato ferroso 200    Usar para los siguientes,S021,4
Polimaltosato 100      Usar para los siguientes,S022,4
Tardyferon,S023,4
Ferrogal,S024,4
Ferdromaco,S025,4
Hemofer,S026,4
Fer-in-sol (jarabe),S019,4
Hemofer (jarabe),S020,4
Hierro y                 Isis Fe,S027,4
anticonceptivos          Isis Mini Fe,S028,4
Aironrap 40,S039,4
Aironrap 80,S040,4
Ferratab Compuesto,S036,4
Ferrogalfol,S032,4
Folaport,S038,4
Hemofer Folic,S030,4
Hierro Dupofol,S029,4
Hierroquick,S031,4
Ministerio de Salud (sulfato ferroso 250 mg + ácido,S212,2
Rubiron,S037,4
Siderblut Folic,S034,4
Sulfato Ferroso Richet,S035,4
Yectafer Tabs,S033,4
Iberol 500 (jarabe),S054,4
Iberol 500,S055,4
Factofer B12,S046,4
Tenvic,S047,4
Vitalix Complex,S048,4
"Hierro, ácido fólico y     Siderblut Complex",S049,4
Vitamina B12               Hemovit,S050,4
Acifol Fe,S051,4
Ferranin Complex,S052,4
Rexfol,S053,4
"Hierro, ácido fólico       Ferro Folic 500",S041,4
Nexovital Complex,S043,4
Anemidox Ferrum,S044,4
Anemidox Ultra,S045,4
Lecitina                   Lecitina de soya,S157,4
Levadura de cerveza,S166,2
Levadura de cerveza,S167,2
Polen granulado,S171,4
Polen en comprimidos,S189,4
Tanvimil A 50.000 UI,S134,4
Tanvimil A 100.000 UI,S135,4
"Vitaminas A, C y D        Usar para todos los suplementos de vitaminas A, C",S015,4
"Vitaminas A, C y D        Usar para todos los suplementos de vitaminas A, C",S016,4
Bagó B1 B6 B12 5.000,S148,4
Dorixina B1 B6 B12,S145,4
Nervomax T B12,S147,4
Trisel,S146,4
ali lo revisa y nos dice,S101,4
Redoxon (efervescente),S150,4
Redoxon 2 g (efervescente),S151,4
Tanvimil C,S152,4
Redoxitos (pastillas),S153,4
"Vitaminas C, E y          Tanvimil Plus",S141,4
Vitamina C y zinc       Redoxon Doble Acción (efervescente),S149,4
Factus,S160,4
Inmunogrip C,S161,4
Tafirol T Caliente Plus,S158,4
Next T Forte (granulado),S162,4
Bio Grip Plus,S163,4
Bayaspirina C Limón,S164,4
Denurix 2400,S129,4
Devisal CB,S125,2
Galferol 2400,S128,4
Galferol 400,S127,4
Osteodyn,S131,4
Raquiferol,S130,4
"Subical (solucion oral, frasco ampolla de 2 ml)",S190,4
Tanvimil D,S126,4
Vitaminas D y       Marvil D,S132,4
alendronato         Marvil D PLUS,S133,4
Tanvimil E 200,S136,4
Tanvimil E 400,S137,4
Vitamina E          Tanvimil E 1.000,S138,4
Optimina Plus,S139,4
Natural Slapak,S140,4
Vitamina K          Tanvimil K,S142,4
Total Magnesiano,S186,4
Total Magnesiano B6,S144,4
Total Magnesiano Antioxidante con vitamina E,S143,4
Total Magnesiano Vitalizante Plus (efervescente),S066,4
Total Magnesiano con vitaminas y minerales,S070,4
Total Magnesiano con vitamina C (efervescente),S082,4
Total Magnesiano Energizante,S086,4
Total Magnesiano Sport,S092,4
Total Magnesiano Sport,S093,4
Total Magnesiano Stress,S094,4
Ciprovit Magnésico,S096,4
102 años Plus,S198,4
102 Sport,S203,4
Becozym,S103,4
Berocca Plus,S073,4
Berocca Plus (efervescente),S062,4
Biodinam,S097,4
Calcimax Magnesio,S083,4
Cal-C-Vita (efervescente),S089,4
Cal-C-Vita Fuor (efervescente),S090,4
Caltrate 600 + D Plus,S084,4
Centrum,S076,4
Centrum Forte,S072,4
Centrum Materna,S068,4
Centrum Prenatal,S197,4
Centrum Silver Efervescente,S180,4
Centrum Silver Forte,S075,4
Centrum Silver VL,S064,4
Ciprovit Calcico (jarabe),S181,4
Ciprovit Energizante,S105,4
Dayamineral,S081,4
Dayamineral (jarabe),S077,4
Dayamineral,S061,4
Epiteliol C,S106,4
Esclerovitan Antioxidante,S091,4
Esclerovitan E,S104,4
Larotabe,S087,4
Marathon,S071,4
Memorex Compuesto,S107,4
Multimagnesio con potasio y B6-Pharmamerican,S207,4
Ocuvite DM,S108,4
Opovital B12 (jarabe),S078,4
Ovita con 20 mg de leutina,S193,4
Pharmafort,S079,4
Pharmaton,S056,4
Pharmaton Complex,S080,4
Pharmaton Efervescente,S067,4
Polper Calcio Magnesio,S088,4
Senexon Plus,S085,4
Stresstabs 600 con zinc,S057,4
Sulfato de zinc. Solución Conc. 4 mg/ml,S208,4
"Sulfato de zinc. Solución Conc. 4,4 mg/ml",S192,4
Sundown Naturals (gomitas frutales),S218,4
Supradyn,S065,4
Supradyn (efervescente),S060,4
Supradyn Forte,S074,4
Supradyn Forte (efervescente),S063,4
Supradyn Pronatal,S069,4
Tanvimil Ginseng,S058,4
Tanvimil M,S059,4
Tonovital Plus,S095,4
Total Fem,S102,4
"Candela             Suplemento CANDELA, Salud Vital, Juvenelle",S176,4
"Capilarforte        cistina, metionina, colágeno, biotina, vit B6, ác.",S173,4
Spirulina 500 mg,S205,4
Spirulina + zinc + cobre (Vitabell),S202,4
Herbalife-Batido de cookies y cream. Fórmula 1*,S174,4
Herbalife- Polvo de proteínas personalizado. Fórmula,S191,4
Herbalife- Batido nutricional proteico. Formula 1*,S206,4
Maca Force          Maca Force,S172,4
Natural Life        Calcio-Magnesio-Zinc,S169,4
Alpiste en polvo,S175,4
"Creatine Monohidrate ultramicronized ""Star",S200,4
Lipo on Fire caffeine-guarana,S185,4
"Sulfato de zinc. Solución Conc. 4,4 mg/ml",S192,4
